,название,цена,год,модель,пробег,тип двигателя,объем двигателя,коробка передач,кузов,привод,л.с,состаяние
0,porsche,2950000,2013,cayman,46000,бензин,2.7,amt,купе,задний,275,не битый
1,mitsubishi,470000,2000,eclipse,170000,бензин,3.0,at,купе,передний,208,не битый
2,toyota,850000,2001,land cruiser prado,185200,бензин,3.4,mt,внедорожник,полный,185,не битый
3,kia,659000,2017,rio,18300,бензин,1.4,mt,седан,передний,107,не битый
4,renault,580000,2014,duster,200000,бензин,2.0,at,внедорожник,полный,135,не битый
5,уаз,250000,1999,31512,21000,бензин,2.4,mt,внедорожник,полный,74,не битый
6,mercedes,525000,2004,-benz e-класс,5000,дизель,2.1,at,седан,задний,122,не битый
7,mazda,450000,2008,2,103000,бензин,1.5,at,хетчбэк,передний,103,не битый
8,volkswagen,455000,2007,passat,305000,бензин,2.0,at,седан,передний,150,не битый
9,citroen,730000,2008,c-crosser,162000,бензин,2.4,cvt,внедорожник,полный,170,не битый
10,nissan,150000,1994,cefiro,200000,бензин,2.5,at,седан,передний,190,не битый
11,toyota,340000,2000,gaia,218000,бензин,2.0,at,минивэн,передний,135,не битый
12,kia,455000,2009,soul,160000,дизель,1.6,at,хетчбэк,передний,128,не битый
13,subaru,153000,1992,impreza,300000,бензин,1.8,at,универсал,полный,120,не битый
14,ford,260000,2006,focus,293868,бензин,1.6,at,седан,передний,100,не битый
15,ваз,130000,2002,2112,168000,бензин,1.5,mt,хетчбэк,передний,78,не битый
16,toyota,505000,2002,voxy,189396,бензин,2.0,at,минивэн,передний,152,не битый
17,ford,469000,2014,focus,75000,бензин,1.6,mt,хетчбэк,передний,105,не битый
18,mazda,800000,2012,6,104000,бензин,2.0,at,хетчбэк,передний,147,не битый
19,газ,33000,1997,31029 волга,27692,бензин,2.4,mt,седан,задний,90,не битый
20,audi,490000,2007,a6,220000,бензин,3.1,at,седан,полный,255,не битый
21,hyundai,245000,2008,getz,197000,бензин,1.1,mt,хетчбэк,передний,66,не битый
22,lada,160000,2010,priora,70707,бензин,1.6,mt,хетчбэк,передний,98,не битый
23,mercedes,370000,2001,-benz c-класс,238399,бензин,2.6,at,седан,задний,170,не битый
24,honda,330000,2003,fit,270000,бензин,1.5,cvt,хетчбэк,передний,110,не битый
25,ваз,87000,2006,2115 samara,248000,бензин,1.5,mt,седан,передний,76,не битый
26,volkswagen,580000,2012,golf plus,133000,бензин,1.6,mt,хетчбэк,передний,102,не битый
27,nissan,700000,2007,navara,170000,дизель,2.5,at,пикап,полный,174,не битый
28,ваз,105000,2005,2112,300000,бензин,1.5,mt,хетчбэк,передний,92,не битый
29,газ,205000,2007,ель 3221,340000,бензин,2.5,mt,микроавтобус,задний,140,не битый
30,toyota,1650000,2004,regius ace,10000,дизель,3.0,at,минивэн,полный,91,не битый
31,toyota,170000,1998,corolla,300000,бензин,1.5,at,универсал,передний,100,не битый
32,mazda,230000,2004,verisa,241000,бензин,1.5,at,хетчбэк,передний,113,не битый
33,lada,370000,2014,priora,80000,бензин,1.6,mt,седан,передний,98,не битый
34,toyota,1410000,2007,land cruiser prado,260000,дизель,3.0,at,внедорожник,полный,173,не битый
35,mitsubishi,167000,2001,lancer cedia,100000,бензин,1.8,at,седан,передний,114,не битый
36,ваз,45000,1999,2109,130000,бензин,1.5,mt,хетчбэк,передний,72,не битый
